Words (English),Word (Arabic script),Word (Arabic with Roman characters),Sample sentence (Arabic),Sample sentence explained,Notes,Learned,Correct Counter
Good morning,صباح الخير,ṣabāḥ el-khēr,صباح الخير كيفك اليوم؟,Sabāḥ el-khēr! kīfak el-yōm? (Good morning! How are you today?),,1.0,0.0
Good morning (response),صباح النور,ṣabāḥ el-nūr,صباح النور,Sabāḥ el-nūr! (Response: good morning!),,1.0,0.0
Good evening,مسا الخير,masāʾ el-khēr,مسا الخير شو الأخبار؟,Masā el-khēr! shū l-akhbār? (Good evening! What's the news?),,1.0,0.0
Good evening (response),مسا النور,masāʾ el-nūr,مسا النور,Masā el-nūr! (Response: good evening!),,1.0,0.0
I,أنا,ʾanā / ʾanā (ʾana),أنا من برلين,ʾAnā min Berlin. (I am from Berlin.),,0.0,0.0
you (singular),إنتَ/إنتِ,ʾinta / ʾinti,إنتَ بتحكي ألماني؟,ʾInta btiḥki ʾAlmānī? (Do you speak German?),,0.0,0.0
he,هُوَّ,huwa,هو هون و هي كمان هون,Huwwe hōn w hiyye kamān hōn. (He is here and she is also here.),,0.0,0.0
she,هِيَ,hiya,هو هون و هي كمان هون,Huwwe hōn w hiyye kamān hōn. (He is here and she is also here.),,0.0,0.0
we,نحنا,niḥna,نحنا مبسوطين اليوم,Niḥna mabsūṭīn il-yōm. (We are happy today.),,0.0,0.0
they,هن,hinne,هن جايين لعنا,Hinne jāyīn la-ʿinnā. (They are coming to us.),,0.0,0.0
my darling,حبيبي,ḥabībī,شكراً، حبيبي,"Shukran, ḥabībī! (Thanks, my dear!)",,0.0,0.0
beautiful,حلو,ḥilw,أنتَ حلو/ أنتِ حلوة,ʾInta ḥilwe / ʾInti ḥilw. (You are beautiful.),,0.0,0.0
Let's go!,يلا,yalla,يلا نمشي,Yalla nimshi! (Let's go!),,0.0,0.0
it means… / filler,يعني,ya'ni,شو يعني خلص؟,Shū ya'ni khalas? (What does khalas mean?),,0.0,0.0
of course,أكيد,akīd,أكيد رح أجي عالحفلة,Akīd raḥ ājī 'al-ḥafle! (Certainly I’m coming to the party!),,0.0,0.0
My pleasure! / Really? / Oh you…,ولو,walaw,ولَو، ما عملت شي,"Walaw, mā ʿmilt shi! (Don’t worry, it was nothing.)",,0.0,0.0
How are you?,كيفك/كيفِك,kīfak / kīfik,مرحبا كيفك اليوم؟,Marḥaba! kīfak il-yōm? (Hi! How are you today?),,0.0,0.0
too/also,كمان,kamān,أنا بحب القهوة، وكمان بحب الشاي,"ʾAnā bḥebb el-ʾahwe, w-kamān bḥebb eš-šāy. (I like coffee, and I also like tea.)",,0.0,0.0
goodnight (wake up to good things),تصبح,tiṣbaḥ,تصبح على خير,Tiṣbaḥ ʿalā khēr. (Good night — literally “may you wake up to good.”),,0.0,0.0
to go,بَروح,barooḥ,بَروح عالسوق كل يوم,Barooḥ ʿa s-sūq kul yōm. (I go to the market every day.),,0.0,0.0
to come,باجي,bājī,باجي بكرا,Bājī bukra. (I come tomorrow.),,0.0,0.0
to see,بَشوف,bshūf,بَشوف أصحابي كل أسبوع,Bshūf aṣḥābī kul usbūʿ. (I see my friends every week.),,0.0,0.0
zero,صفر,ṣefer,صفر درجة اليوم,Ṣefer daraje il-yōm. (Zero degrees today.),,0.0,0.0
one,واحد,wāḥad,عندي كتاب واحد,ʿIndī wāḥad kitāb. (I have one book.),,0.0,0.0
two,تنين,tnēn,اشتريت تنين تفاح,Ishtarayt tnēn tuffāḥ. (I bought two apples.),,0.0,0.0
three,تلاتة,tlāte,ثلاثة أيام عطلة,Tlāté ayyām ʿuṭleh. (Three days off.),,0.0,0.0
four,أربعة,arbaʿa,أربعة كراسي بالغرفة,Arbaʿa karāsī bil-ghurfeh. (Four chairs in the room.),,0.0,0.0
five,خمسة,khamsé,خمسة أشخاص هون,Khamsé ashkhāṣ hōn. (Five people are here.),,0.0,0.0
six,ستة,setté,ستة كتب على الطاولة,Settē kutub ʿala ṭ-ṭāwleh. (Six books on the table.),,0.0,0.0
seven,سبعة,sabʿa,سبعة أيام بالأسبوع,Sabʿa ayyām bil-usbūʿ. (Seven days in a week.),,0.0,0.0
eight,تمانية,tmāne,ثمانية طلاب بالفصل,Tmāne ṭullāb bil-faṣl. (Eight students in the class.),,0.0,0.0
nine,تسعة,tisʿa,تسعة أكواب على الرف,Tisʿa akwāb ʿala r-raff. (Nine cups on the shelf.),,0.0,0.0
ten,عشرة,ʿashra,عشرة ليرات سورية,ʿAshra lērat Sūriyyeh. (Ten Syrian pounds.),,0.0,0.0
when,أيمتى,ēmta,أيمتى بتوصل؟,Ēmta btūṣal? (When will you arrive?),,0.0,0.0
right (direction),يمين,yamīn,لف يمين عند الإشارة,Liff yamīn ʿand el-ʾišāra. (Turn right at the light.),,0.0,0.0
